,,Jobbik,Együtt,Fidesz - KDNP,DK,LMP,Momentum,MSZP-P
Gyerekvállalás támogatása adókedvezménnyel,A családi adókedvezmény jelenlegi rendszere megfelelő eszköz a gyermeknevelés támogatására.,1,-1,1,-1,-1,-1,1
Egykulcsos adó megtartása,Az egykulcsos személyi jövedelemadózást fenn kell tartani.,-1,-1,1,-1,-1,-1,-1
Földpályázatok felülvizsgálata,Az elmúlt évek állami földeladásait és haszonbérbe adásait felül kell vizsgálni.,1,1,-1,1,1,1,1
Magántőke az egészségügyben,Többiztosítós rendszer révén magántőkét kellene bevonni az egészségügybe.,0,-1,-1,-1,-1,1,-1
Hálapénz büntetése,Minden esetben büntetni kéne a hálapénz elfogadó orvosokat és ápolókat.,-1,1,-1,-1,1,-1,1
Euró bevezetése,A következő parlamenti ciklusban be kell vezetni az eurót.,1,1,-1,1,0,1,0
Paks 2 leállítása,A Pakson tervezett új atomerőműblokkok létesítését és annak finanszírozását tartalmazó orosz-magyar államközi megállapodást fel kell mondani.,0,1,-1,1,1,1,1
Városliget megóvása,A Városligetet múzeumi negyeddé alakító beruházásokat le kell állítani.,1,1,-1,1,1,1,1
Népszavazás kiírásának könnyítése,Könnyíteni kellene a népszavazások kiírásának feltételein.,1,1,-1,1,1,-1,1
Munkavállalói jogok erősítése,A Munka törvénykönyvének módosításával erősíteni kellene a munkavállalói jogokat.,1,1,0,1,1,0,1
Devizahitelesek megsegítése,Az államnak és a bankoknak további terheket kellene vállalniuk a devizahitelesek megsegítésére.,1,0,-1,1,1,0,1
Multik állami támogatása,Az államnak továbbra is támogatnia kell anyagilag a külföldi nagyvállalatok munkahelyteremtő beruházásait.,1,1,1,1,-1,1,1
Női kvóta a parlamentben,A nők társadalmi jelenlétének erősítése érdekében az országgyűlési képviselők esetében női kvótát kellene érvényesíteni.,-1,1,-1,1,-1,-1,1
Azonos nemű párok jogai,"Az azonos nemű párokat azonos jogok kell, hogy megillessék, mint a férfi-nő párokat.",-1,1,-1,1,1,1,1
Civilek megbélyegzése helytelen,A 2017-es civil törvény feleslegesen megbélyegzi a külföldről támogatást fogadó hazai civileket.,1,1,-1,1,1,1,1
Céges pártfinanszírozás,Az adományozók nyilvánossága mellett a pártok fogadhassanak el magáncégektől is támogatást.,0,-1,-1,-1,0,1,-1
