id,question
101,A családi adókedvezmény jelenlegi rendszere megfelelő eszköz a gyermeknevelés támogatására.
102,Az egykulcsos személyi jövedelemadózást fenn kell tartani.
104,Az elmúlt évek állami földeladásait és haszonbérbe adásait felül kell vizsgálni.
105,Többiztosítós rendszer révén magántőkét kellene bevonni az egészségügybe.
106,Minden esetben büntetni kéne a hálapénz elfogadó orvosokat és ápolókat.
107,A következő parlamenti ciklusban be kell vezetni az eurót.
108,A Pakson tervezett új atomerőműblokkok létesítését és annak finanszírozását tartalmazó orosz-magyar államközi megállapodást fel kell mondani.
109,A Városligetet múzeumi negyeddé alakító beruházásokat le kell állítani.
110,Könnyíteni kellene a népszavazások kiírásának feltételein.
111,A Munka törvénykönyvének módosításával erősíteni kellene a munkavállalói jogokat.
112,Az államnak és a bankoknak további terheket kellene vállalniuk a devizahitelesek megsegítésére.
113,Az államnak továbbra is támogatnia kell anyagilag a külföldi nagyvállalatok munkahelyteremtő beruházásait. 
115,A nők társadalmi jelenlétének erősítése érdekében az országgyűlési képviselők esetében női kvótát kellene érvényesíteni. 
116,"Az azonos nemű párokat azonos jogok kell, hogy megillessék, mint a férfi-nő párokat."
117,A 2017-es civil törvény feleslegesen megbélyegzi a külföldről támogatást fogadó hazai civileket.
119,Az adományozók nyilvánossága mellett a pártok fogadhassanak el magáncégektől is támogatást.
120,Az állami közbeszerzésekből az elmúlt években nagy vagyonokat felhalmozó vállalkozók vagyonosodását felül kell vizsgálni.
121,"Bármely közpénzt érintő szerződés csak akkor léphessen hatályba, ha a szerződés nyilvánosságra került egy egységes kormányzati adatbázisban."
123,Az országgyűlési választásokon csak magyarországi lakcímmel rendelkező állampolgárok szavazhassanak. 
124,"A választási rendszer átalakítása szükséges, arányosabb képviseletet biztosító rendszert kell bevezetni."
125,A köztársasági elnököt közvetlenül kellene megválasztani.
126,Az önkormányzatok számát csökkenteni kell a kistelepülések önkormányzatainak összevonásával.
127,A „három csapás” törvény hatékony eszköz az erőszakos bűncselekmények visszaszorítására. 
128,A marihuána-fogyasztás büntethetőségét fenn kell tartani.
129,"Igazságos az, hogy munkához kötik a segélyek kifizetését és az állam a közfoglalkoztatással munkalehetőséget biztosít."
130,Magyarországnak részt kellene vennie az Európai Ügyészségre vonatkozó együttműködésben.
131,Magyarország az európai integráció elmélyítésében érdekelt.
132,A keleti nyitás politikáját folytatni kell.
133,A jelenlegi orosz külpolitika fenyegetést jelent Magyarország számára.
134,"Fenn kell tartani a lehetőséget, hogy vállalatok társasági adójukból látványcsapatsportokat finanszírozhassanak."
135,"Magas pénzbírsággal kellene büntetni azokat a munkaadókat, akik kevesebb fizetést adnak hasonló beosztásban dolgozó nőknek, mint férfiaknak."
136,Magyarországon jelenleg szabad a sajtó és a média.
137,Vallási közösség egyházként történő jogi elismerése nem függhet politikai testület mérlegelésétől.
138,"A Magyarországra érkező menedékkérőket egészen addig fogva kell tartani, ameddig nem születik döntés a kérelmükről."
139,A határkerítést meg kell tartani.
141,"A kormánynak fel kellene lépnie az EU minden tagállamára érvényes bérunió érdekében, ami azonos munkáért azonos bért garantál. "
142,A nyugdíjrendszert a jelenlegi felosztó-kirovó rendszer helyett az öngondoskodásra kellene alapozni.
143,"A nőkhöz hasonlóan a férfiak számára is lehetővé kellene tenni, hogy 40 év munkaviszony után nyugdíjba mehessenek."
145,A közoktatás túlzottan centralizált: az iskolák fenntartását és működtetését a KLIK helyett (ahol erre igény van) vissza kell adni az önkormányzatoknak.
146,"Megengedhető, hogy különböző szociális hátterű, származású (pl. roma) gyerekeket elkülönítve oktassanak az iskolarendszerben."
148,A tankötelezettség korhatárát a jelenlegi 16 évről 18 évre kell emelni.
150,Csökkentett közszolgáltatási díj (rezsi) csak a szociálisan rászoruló állampolgároknak járjon.
151,A közeljövőben be kell vezetni az alapjövedelem valamilyen formáját.
152,A kormánynak be kellene avatkoznia a lakáspiacon az albérletárak mérséklése érdekében.
153,A gyermekes családok elhelyezés nélküli kilakoltatását meg kell tiltani.
154,Szükség van önálló környezetvédelmi minisztériumra.
