id	name hu	question hu	description hu	order
1	Adatvédelem	Erősebb adatvédelmi szabályozásra lenne szükség az EU-ban.	A személyes adatok közé tartoznak például az egészségügyi adatok, a genetikai minták, a gazdasági adatok, a telefonhívások vagy az internetböngészési adatok is. Ezek az adatok politikai vagy üzleti célokra egyaránt használhatók.	1
2	Minimálbér	Az Uniónak szorgalmaznia kellene, hogy minden tagállamban az átlagfizetéshez kötött minimálbért vezessenek be.	Az átlagos minimálbér az EU tagállamaiban körülbelül az átlagbér 40 százaléknak felel meg. Arányaiban a legalacsonyabb Csehországban (32%), a legmagasabb pedig Szlovéniában és Görögországban (50%) - Magyarországon 44%-os a minimálbér átlagbérhez viszonyított aránya.	2
3	Jogalkotás	Az Európai Parlament kezdeményezhessen önállóan is jogszabályt, az Európai Bizottság nélkül.	Az Európai Parlament - szemben a nemzeti parlamentekkel - nem nyújthat be törvényjavaslatot az Európai Bizottság jóváhagyása nélkül. A javaslat támogatói szerint ennek megszüntetése az európai demokrácia fejlesztéséhez járulna hozzá, míg ellenzői a nemzeti szuverenitást, a nemzeti parlamentek önállóságát féltik.	3
4	CO2 kibocsájtás	Az EU-nak szigorúbb széndioxid-plafonokat kellene bevezetni a kibocsájtás csökkentése érdekében.	Az Európai Unióban érvényes szabályok a széndioxid-kibocsájtás mértékét szabályozzák a klímaváltozás visszaszorítása érdekében. Egyesek szerint további szigorításokra van szükség, mások szerint a hasonló szabályok növelik az energiaárakat.	4
5	Atomenergia	Az EU tagállamainak meg kellene tiltani az atomenergia állami támogatását.	Az atomenergia támogatói a fűtőanyag-felhasználás hatékonyságával és (például a szén- vagy gázfűtésű erőművekkel szemben) az alacsony CO2-kibocsájtással érvelnek. Az ellenzők szerint az atomenergia használata nem kifizetődő és magas kockázattal jár.	5
6	GMO	A génmódosított növények termesztését engedélyezni kellene az EU tagállamaiban.	Az EU jelenleg szigorúan korlátozza a génmódosított növények termesztését. A GMO-növények természtésének támogatói szerint az ilyen növények ellenállóbbak a különböző betegségekkel szemben, ezért nem igényelnek vegyi kezelést. A GMO ellenzői a lehetséges egészségügyi kockázatok és környezeti károk miatt aggódnak.	6
7	Vámok	A fejlődő országokból származó mezőgazdasági termékekre kivetett vámokat csökkenteni kellene Európában.	A különböző vámok és importadók támogatói szerint az ilyen típusú adók megvédik az uniós tagállamok gazdaságát és piacát a fejlődő országok olcsó mezőgazdasági termékeitől. Ellenzői szerint a különböző vámok korlátozzák az elmaradottabb országok fejlődését, hiszen a fejletlenebb országok legfőbb kiviteli cikkei éppen a mezőgazdasági termékek - ráadásul az importadók növelhetik az élelmiszerek árát is.	7
8	Bizottság elnökének megválasztása	Az Európai Bizottság elnökét közvetlenül kellene megválasztani.	Az Európai Bizottság elnökének közvetlen megválasztását támogatók növelnék az Uniós intézmények legitimációját. Az ellenzők azzal érvelnek, hogy ez nem old meg semmilyen valós problémát, és nem erősítené az unióba vetett bizalmat.	8
9	Társasági adó minimum	Be kellene vezetni egy minden tagállamra kötelező társaságiadó-minimumot az Európai Unióban.	A társasági adó szintje az unión belül 10-35 % között mozog. Az EU-ban egységesen bevezetendő, minimális mértékű társasági adó támogatói szerint a különbségek az EU-n belüli adóparadicsomok kialakulásához vezettek (pl. Ciprus), és a cégek az adókat nem abban az országban fizetik meg, ahol valójában profitot termelnek. Az ellenzők szerint az adópolitika az országok közötti egészséges verseny része.	9
10	Belső támogatások	Az Uniónak kevesebb támogatást kellene adnia a szegényebb tagállamok számára.	Az EU költségvetésének majdnem egyharmada megy el a régiók támogatására. Ennek fő célja a gazdaságilag fejletlenebb térségek támogatása az EU-n belül. A budapesti régiót kivéve egész Magyarország ide tartozik.	10
11	EU bővítés	Nem szabadna újabb tagállamokat felvenni az Európai Unióba.	Jelenleg hivatalosan Montenegró, Izland, Macedónia, Szerbia és Törökország jelölt az EU-tagságra. 	11
12	Pénzügyi tranzakciós adó	Szükség van pénzügyi tranzakciós adóra az EU-ban.	A pénzügyi tranzakciós adó (kb. 0,01-0,1 %) támogatói szerint egy ilyen adónem képes lehet megelőzni a pénzügyi spekulációkat. Az ellenzők azzal érvelnek, hogy ez a módszer csak világszerte alkalmazva lehet sikeres, és az unión belüli bevezetéssel csak azt érjük el, hogy megnövekszik a cégek EU-n kívüli tranzakciók száma.	12
13	Európai hadsereg	Közös európai hadsereg felállítására van szükség.	Jelenleg az EU nem rendelkezik saját hadsereggel, csak harccsoportokkal. A közös hadsereg létrehozásának támogató szerint a hadsereg erősítené az EU helyzetét nemzetközi szinten, és hozzájárulhatna a konfliktusok feloldásához. Az ellenzők úgy látják, a honvédelem az egyes tagországok feladata.	13
14	EU biztosok felmentése	Az Európai Parlamentnek meg kellene adni a jogot, hogy uniós biztosokat felmenthessen a hivatalából.	Az Európai Bizottság tagjait a tagállamok kormányai nevezik ki. Az Európai Bizottságot kinevezését pedig az Európai Parlament hagyja jóvá. A Bizottság tagjait kizárólag az Európai Parlament bizalmatlansági indítványa alapján lehet visszahívni, míg egyes képviselőkkel ugyanezt nem lehet megtenni.	14
15	Közös külpolitika	Még több külpolitikai kérdésben kellene dönteni közösségi, és nem tagállami szinten.	Az EU közösségi szinten meghatározott kül- és biztonságpolitikájának céljai elvben kötelezőek a tagállamok részére, de az EU-s jog jelenleg nem tartalmaz semmilyen szankciót e kötelezettség megsértése esetén.	15
16	Uniós segélyezés	Az EU-nak több forrást kellene biztosítania a nemzetközi fejlesztésre és segélyezésre.	Az EU komoly fejlesztési segélyeket biztosít szegényebb, az EU-n kívüli országok számára. Az intézmény támogatói szerint a segélyek segítik a célországokat, megelőzik a gyors népességnövekedést (baby boom), és visszaszorítják a kivándorlást a fejlettebb országokba, például az EU tagállamaiba. Az ellenzők szerint a segélyek nagy részét a kormányok és bűnözői csoportok eltulajdonítják, így a segélycsomagok nem jutnak el azokhoz, akiknek valóban szükségük van rájuk.	16
